Date format,Year,Population
1-Jul-00,1900,76094000
1-Jul-01,1901,77584000
1-Jul-02,1902,79163000
1-Jul-03,1903,80632000
1-Jul-04,1904,82166000
1-Jul-05,1905,83822000
1-Jul-06,1906,85450000
1-Jul-07,1907,87008000
1-Jul-08,1908,88710000
1-Jul-09,1909,90490000
1-Jul-10,1910,92407000
1-Jul-11,1911,93863000
1-Jul-12,1912,95335000
1-Jul-13,1913,97225000
1-Jul-14,1914,99111000
1-Jul-15,1915,100546000
1-Jul-16,1916,101961000
1-Jul-17,1917,103268000
1-Jul-18,1918,103208000
1-Jul-19,1919,104514000
1-Jul-20,1920,106461000
1-Jul-21,1921,108538000
1-Jul-22,1922,110049000
1-Jul-23,1923,111947000
1-Jul-24,1924,114109000
1-Jul-25,1925,115829000
1-Jul-26,1926,117397000
1-Jul-27,1927,119035000
1-Jul-28,1928,120509000
1-Jul-29,1929,121767000
1-Jul-30,1930,123076741
1-Jul-31,1931,124039648
1-Jul-32,1932,124840471
1-Jul-33,1933,125578763
1-Jul-34,1934,126373773
1-Jul-35,1935,127250232
1-Jul-36,1936,128053180
1-Jul-37,1937,128824829
1-Jul-38,1938,129824939
1-Jul-39,1939,130879718
1-Jul-40,1940,132122446
1-Jul-41,1941,133402471
1-Jul-42,1942,134859553
1-Jul-43,1943,136739353
1-Jul-44,1944,138397345
1-Jul-45,1945,139928165
1-Jul-46,1946,141388566
1-Jul-47,1947,144126071
1-Jul-48,1948,146631302
1-Jul-49,1949,149188130
1-Jul-50,1950,152271417
1-Jul-51,1951,154877889
1-Jul-52,1952,157552740
1-Jul-53,1953,160184192
1-Jul-54,1954,163025854
1-Jul-55,1955,165931202
1-Jul-56,1956,168903031
1-Jul-57,1957,171984130
1-Jul-58,1958,174881904
1-Jul-59,1959,177829628
1-Jul-60,1960,180671158
1-Jul-61,1961,183691481
1-Jul-62,1962,186537737
1-Jul-63,1963,189241798
1-Jul-64,1964,191888791
1-Jul-65,1965,194302963
1-Jul-66,1966,196560338
1-Jul-67,1967,198712056
1-Jul-68,1968,200706052
1-Jul-69,1969,202676946
1-Jul-70,1970,205052174
1-Jul-71,1971,207660677
1-Jul-72,1972,209896021
1-Jul-73,1973,211908788
1-Jul-74,1974,213853928
1-Jul-75,1975,215973199
1-Jul-76,1976,218035164
1-Jul-77,1977,220239425
1-Jul-78,1978,222584545
1-Jul-79,1979,225055487
1-Jul-80,1980,227224681
1-Jul-81,1981,229465714
1-Jul-82,1982,231664458
1-Jul-83,1983,233791994
1-Jul-84,1984,235824902
1-Jul-85,1985,237923795
1-Jul-86,1986,240132887
1-Jul-87,1987,242288918
1-Jul-88,1988,244498982
1-Jul-89,1989,246819230
1-Jul-90,1990,249464396
1-Jul-91,1991,252153092
1-Jul-92,1992,255029699
1-Jul-93,1993,257782608
1-Jul-94,1994,260327021
1-Jul-95,1995,262803276
1-Jul-96,1996,265228572
1-Jul-97,1997,267783607
1-Jul-98,1998,270248003
1-Jul-99,1999,272690813
1-Jul-00,2000,282162411
1-Jul-01,2001,284968955
1-Jul-02,2002,287625193
1-Jul-03,2003,290107933
1-Jul-04,2004,292805298
1-Jul-05,2005,295516599
1-Jul-06,2006,298379912
1-Jul-07,2007,301231207
1-Jul-08,2008,304093966
7/1/09,2009,306771529
7/1/10,2010,309349689