ID,Year,Population,Storage
0,1900,76094000,974364.9694
1,1901,77584000,208705.8
2,1902,79163000,218194.575
3,1903,80632000,156216
4,1904,82166000,218103.81
5,1905,83822000,408234.5
6,1906,85450000,714328.2
7,1907,87008000,485867.5
8,1908,88710000,495044.6
9,1909,90490000,4618883.2
10,1910,92407000,1121218.7
11,1911,93863000,3490383.5
12,1912,95335000,1634948.457
13,1913,97225000,2132494
14,1914,99111000,2060591.855
15,1915,100546000,5593029.998
16,1916,101961000,1915208.3
17,1917,103268000,574606.625
18,1918,103208000,649622
19,1919,104514000,1911354.63
20,1920,106461000,756905.29
21,1921,108538000,1020677.5
22,1922,110049000,522961.3
23,1923,111947000,1592870
24,1924,114109000,1705240.912
25,1925,115829000,1826130.415
26,1926,117397000,2922858.95
27,1927,119035000,3218048.65
28,1928,120509000,2210094
29,1929,121767000,513453.4
30,1930,123076741,1958554.89
31,1931,124039648,5392014.7
32,1932,124840471,815936.7
33,1933,125578763,758208.1488
34,1934,126373773,2896204.1
35,1935,127250232,1333832.135
36,1936,128053180,4976230.845
37,1937,128824829,5237769.1
38,1938,129824939,6915040.227
39,1939,130879718,4165375.6
40,1940,132122446,3414316.662
41,1941,133402471,7449305.68
42,1942,134859553,8725636.24
43,1943,136739353,2635770.5
44,1944,138397345,3611266.1
45,1945,139928165,5268753.249
46,1946,141388566,193873.6
47,1947,144126071,190566.9
48,1948,146631302,2036893.71
49,1949,149188130,5554158.26
50,1950,152271417,6039643.61
51,1951,154877889,8443179.27
52,1952,157552740,9972343.13
53,1953,160184192,32183760.18
54,1954,163025854,11181226.75
55,1955,165931202,6109387.85
56,1956,168903031,1554704.178
57,1957,171984130,20513459.47
58,1958,174881904,8078083.774
59,1959,177829628,7035844.75
60,1960,180671158,4257693.475
61,1961,183691481,4421452.42
62,1962,186537737,15608654.15
63,1963,189241798,42173417.56
64,1964,191888791,9667191.364
65,1965,194302963,15260391.47
66,1966,196560338,28622394.15
67,1967,198712056,5415926.622
68,1968,200706052,9998986.549
69,1969,202676946,17226701.4
70,1970,205052174,4692799.685
71,1971,207660677,3742986.675
72,1972,209896021,2059722.27
73,1973,211908788,13028726.53
74,1974,213853928,3964693.57
75,1975,215973199,3305806.83
76,1976,218035164,1846938.98
77,1977,220239425,1788442.33
78,1978,222584545,7042932.017
79,1979,225055487,4536163.365
80,1980,227224681,7035372.86
81,1981,229465714,1437853.41
82,1982,231664458,913923.61
83,1983,233791994,2321522.9
84,1984,235824902,1122314.92
85,1985,237923795,386320.61
86,1986,240132887,2534370.26
87,1987,242288918,1463088.55
88,1988,244498982,455483.25
89,1989,246819230,1253656.65
90,1990,249464396,1347592.814
91,1991,252153092,875925.32
92,1992,255029699,1083954.48
93,1993,257782608,604170.47
94,1994,260327021,372675.8
95,1995,262803276,455700.63
96,1996,265228572,128776.58
97,1997,267783607,208530.34
98,1998,270248003,109923.76
99,1999,272690813,273220.32
100,2000,282162411,950553.92
101,2001,284968955,47446.24
102,2002,287625193,394374.43
103,2003,290107933,85641.17
104,2004,292805298,96505.57
105,2005,295516599,178111.17
106,2006,298379912,152666.09
107,2007,301231207,70857.01
108,2008,304093966,5792.4
109,,306771529,
110,,309349689,